Date,Country,City,Temperature (C),Humidity (%),Precipitation (mm)
2022-01-01,Brazil,São Paulo,30.999666457925702,51.97128614169651,12.191175609658485
2022-01-01,Brazil,Rio de Janeiro,26.660567797116904,84.00056157572462,8.531016305714124
2022-01-01,Brazil,Brasília,27.68105351347007,48.7261063299313,12.3340980215639
2022-01-01,Brazil,Salvador,23.117746697578806,78.9271453422672,14.194733582222367
2022-01-01,Brazil,Fortaleza,26.121700152528863,58.07281500092934,6.926615438057835
2022-01-01,USA,New York,1.468101613779364,65.4125363555218,19.567828282083127
2022-01-01,USA,Los Angeles,-2.1558391968433135,58.17063778683219,6.156653856265923
2022-01-01,USA,Chicago,8.183937949250394,53.74658925897265,6.713720692081877
2022-01-01,USA,Houston,-4.598903702878831,72.15143685907762,10.996456945606958
2022-01-01,USA,Phoenix,-1.320025432704293,87.03355994620563,8.630159881351256
2022-01-01,China,Beijing,5.288082760562123,45.83103698082256,15.910250245548713
2022-01-01,China,Shanghai,-9.408263821528557,45.291822764647485,19.25185988615334
2022-01-01,China,Guangzhou,5.519160060595162,44.69011129342244,9.576714492134972
2022-01-01,China,Shenzhen,6.3702802919268,81.39520524650388,4.351353788188206
2022-01-01,China,Chengdu,8.77649821144082,84.94932582967127,7.71049645302427
2022-01-02,Brazil,São Paulo,33.991161479278354,43.373629354025994,14.973467239044751
2022-01-02,Brazil,Rio de Janeiro,31.20406247889342,63.30731337852312,16.215269454317514
2022-01-02,Brazil,Brasília,25.169241753645103,57.56767434039975,11.58439693844487
2022-01-02,Brazil,Salvador,21.54760285336495,60.38352346911215,9.311769594552302
2022-01-02,Brazil,Fortaleza,27.611245708226555,67.86518937851642,11.855732559791381
2022-01-02,USA,New York,-3.018246813512789,65.77849566705738,14.902607517486546
2022-01-02,USA,Los Angeles,6.68415880460716,43.091471649938214,4.1280369214661565
2022-01-02,USA,Chicago,5.0731328010609005,76.88348834876984,12.35094287670767
2022-01-02,USA,Houston,-4.3531040992821355,40.007535322523026,10.664948551883986
2022-01-02,USA,Phoenix,2.854623886112045,41.428323467655844,12.176345380560313
2022-01-02,China,Beijing,-7.178578962695532,80.66352687918916,0.012086261812114252
2022-01-02,China,Shanghai,-4.7272107606620395,78.96062322851185,9.424475182005283
2022-01-02,China,Guangzhou,1.391086717901473,33.00169908112413,0.38888216614485493
2022-01-02,China,Shenzhen,3.788185520577068,46.63268457878371,2.3625934761622025
2022-01-02,China,Chengdu,2.490221630951826,76.85934974335572,12.815575890295445
2022-01-03,Brazil,São Paulo,30.90964279494353,35.59566922341346,13.616076140205383
2022-01-03,Brazil,Rio de Janeiro,28.95630366475624,40.24588926159282,2.5285250479708687
2022-01-03,Brazil,Brasília,34.759362487279006,66.03963684275334,19.59442328764074
2022-01-03,Brazil,Salvador,20.977883485882323,80.6024113580329,10.559026067668746
2022-01-03,Brazil,Fortaleza,29.53318359120862,72.5488521157636,13.389383749870865
2022-01-03,USA,New York,-2.569802389157428,79.89351225814477,15.939918863248115
2022-01-03,USA,Los Angeles,4.659956715034269,42.797254975140625,6.78384086925492
2022-01-03,USA,Chicago,2.169341057473046,73.6510756878425,7.315405881037435
2022-01-03,USA,Houston,0.7137829454053577,89.77577037741703,17.73978135418878
2022-01-03,USA,Phoenix,-4.243563310245157,35.673548761905145,4.585417330551945
2022-01-03,China,Beijing,-3.267997646550471,86.91623396112624,18.240241924266783
2022-01-03,China,Shanghai,-7.148553977709162,44.621380570153576,13.371721049992821
2022-01-03,China,Guangzhou,-3.5189913234970778,72.95264049723215,5.894072078244976
2022-01-03,China,Shenzhen,-2.251726620572965,80.8784823030503,2.998338950910715
2022-01-03,China,Chengdu,9.342785380610408,53.50052620795448,10.636543507225468
2022-01-04,Brazil,São Paulo,30.273957390388496,56.02160584480636,12.310992696310045
2022-01-04,Brazil,Rio de Janeiro,27.272842057424825,51.75444475424527,10.153906997830028
2022-01-04,Brazil,Brasília,30.31892425427769,74.92513354995172,14.25886661935694
2022-01-04,Brazil,Salvador,20.992078653504528,48.72374585351728,16.19877470866422
2022-01-04,Brazil,Fortaleza,22.944074970867742,73.58319643194517,16.22973743052078
2022-01-04,USA,New York,9.837788479706367,50.39799892967447,0.587940580678934
2022-01-04,USA,Los Angeles,2.521604726040019,37.73661203618945,4.834666174259699
2022-01-04,USA,Chicago,-0.8991358445323536,50.57891586752692,7.0764821070376165
2022-01-04,USA,Houston,7.414050531936111,83.90777893854613,10.59385605205174
2022-01-04,USA,Phoenix,9.545872263849484,40.99393915037395,10.663845838221826
2022-01-04,China,Beijing,8.029984909018882,55.3293499391805,9.833202147458751
2022-01-04,China,Shanghai,3.7557263795960303,73.24646238630872,1.7701078713544471
2022-01-04,China,Guangzhou,9.971541359068766,51.77428327868172,7.275725933744797
2022-01-04,China,Shenzhen,-3.829441150563488,48.69974813384788,18.95429141834383
2022-01-04,China,Chengdu,6.752037629197577,39.33499434977022,14.682039765936386
2022-01-05,Brazil,São Paulo,23.2089380152219,46.87243807418767,6.003031967767411
2022-01-05,Brazil,Rio de Janeiro,32.86324620690231,60.02726965226104,8.079376143377885
2022-01-05,Brazil,Brasília,26.886920917992526,33.492512723817434,19.51878379615434
2022-01-05,Brazil,Salvador,28.59065142318127,55.20838525213567,2.4708795634129244
2022-01-05,Brazil,Fortaleza,29.603014299853548,87.93900579276124,7.219738442882786
2022-01-05,USA,New York,4.176730048775049,59.38264829915677,8.954719135098703
2022-01-05,USA,Los Angeles,2.634431847314646,32.40988378712287,7.8627706397362935
2022-01-05,USA,Chicago,5.374740868040369,48.83513495952354,4.600838650484431
2022-01-05,USA,Houston,2.1903448256794693,43.30693141503828,5.208735637249178
2022-01-05,USA,Phoenix,-4.386192028248846,45.3093723136564,6.352830820232427
2022-01-05,China,Beijing,6.262020885055186,57.893617948743106,13.138410192499927
2022-01-05,China,Shanghai,9.226927051389826,46.38710682977002,18.010751606581138
2022-01-05,China,Guangzhou,-5.041714516699272,62.96266414169595,8.851906754641448
2022-01-05,China,Shenzhen,5.829245687902418,77.54397831343961,15.667010678914373
2022-01-05,China,Chengdu,-5.36605287084236,67.85614029014849,1.0417393979264533
2022-01-06,Brazil,São Paulo,29.340405446027425,53.80605117017993,15.99999448150344
2022-01-06,Brazil,Rio de Janeiro,30.02582126708122,74.08564722561681,9.4865562951209
2022-01-06,Brazil,Brasília,30.619078919137365,36.62112945921602,3.2376840049470323
2022-01-06,Brazil,Salvador,28.47830502276044,55.51974209626254,9.71205752191954
2022-01-06,Brazil,Fortaleza,21.897232537223307,88.8690278191329,6.7052381561390035
2022-01-06,USA,New York,-1.3879660304339247,76.17993829755437,2.7577620128531444
2022-01-06,USA,Los Angeles,6.966119235185772,52.295004654359985,13.062738921487508
2022-01-06,USA,Chicago,3.3287471165899856,66.90706243942815,7.981679381633182
2022-01-06,USA,Houston,0.2849669345432879,51.01953918947328,9.297562880216699
2022-01-06,USA,Phoenix,-2.1217314262841103,89.01427247907361,3.1517831501420357
2022-01-06,China,Beijing,-8.33857784743014,44.76708681369328,1.13485297022768
2022-01-06,China,Shanghai,-5.679551229341806,54.983474080209255,16.070484836409165
2022-01-06,China,Guangzhou,6.2854871015528815,72.02715811988566,10.454063714179524
2022-01-06,China,Shenzhen,6.861257051121214,66.28747419171259,3.885016052437309
2022-01-06,China,Chengdu,-8.44555003648096,54.3958674082635,16.437803269786265
2022-01-07,Brazil,São Paulo,20.317585467894816,78.97593037780652,6.409983705331481
2022-01-07,Brazil,Rio de Janeiro,32.15004079909302,48.62700896664359,0.14098126856910698
2022-01-07,Brazil,Brasília,26.230267551325635,34.87082887077088,9.127614271558965
2022-01-07,Brazil,Salvador,21.46470573314817,38.8268288525731,17.187250801291206
2022-01-07,Brazil,Fortaleza,22.795318669207774,41.20251429456314,18.47800273962981
2022-01-07,USA,New York,5.658280396899155,53.41940568856879,11.917400919818444
2022-01-07,USA,Los Angeles,1.5475842895315441,48.79942581216104,14.33489269087709
2022-01-07,USA,Chicago,9.753623254251963,49.52803181457625,0.8917229906197677
2022-01-07,USA,Houston,-0.4605570636789311,70.68553835235797,8.386518781667675
2022-01-07,USA,Phoenix,8.488717868755305,54.58696806525171,6.88886343841649
2022-01-07,China,Beijing,-5.6995239281911525,60.95826426384822,13.268357590862607
2022-01-07,China,Shanghai,-6.369818350146308,59.493945199390396,1.9511752428901175
2022-01-07,China,Guangzhou,-7.742886189531735,63.07717123628451,15.08202769012431
2022-01-07,China,Shenzhen,-6.709921105723606,86.76252912293123,3.6244563079170233
2022-01-07,China,Chengdu,-4.1870088769901255,40.950689642546244,5.777383557981548
2022-01-08,Brazil,São Paulo,26.301270430210664,84.60114939388596,1.3148562933990915
2022-01-08,Brazil,Rio de Janeiro,31.151410329130115,65.67240100573451,10.742450224624008
2022-01-08,Brazil,Brasília,25.8027610561346,61.40679003374514,5.763667820231035
2022-01-08,Brazil,Salvador,31.68057446922292,51.06567533957282,2.6051825613438973
2022-01-08,Brazil,Fortaleza,32.41937344753057,50.243087512137876,17.54515812583966
2022-01-08,USA,New York,1.3846538904238601,35.83143531295396,4.4459805810977615
2022-01-08,USA,Los Angeles,8.00920010175362,74.72807721569974,17.90796728129851
2022-01-08,USA,Chicago,-2.66384973443041,53.80702499760482,17.167943885624954
2022-01-08,USA,Houston,7.893534628364819,64.86289940401137,14.773208475537803
2022-01-08,USA,Phoenix,1.3542819506386508,67.60713587325009,6.624235436223613
